,id,filename_ndwi,filename_cloud,id.1,date,dir,dir_ndwi,dir_cloud,event,state,county,latitude,longitude,note,source,event_day,period,cluster_pixel_count_default,n_clusters_default,flooded_cluster_default,cluster_pixel_count_pca_i,n_clusters_pca_i,n_components_pca_i,flooded_cluster_pca_i,explained_variance_pca_i,inertia_result_pca_i,n_clusters_list_pca_i,cluster_pixel_count_flowline_pca_i,n_clusters_flowline_pca_i,n_components_flowline_pca_i,flooded_cluster_flowline_pca_i,explained_variance_flowline_pca_i,inertia_result_flowline_pca_i,n_clusters_list_flowline_pca_i,cluster_pixel_count_ndwi_pca_i,n_clusters_ndwi_pca_i,n_components_ndwi_pca_i,flooded_cluster_ndwi_pca_i,explained_variance_ndwi_pca_i,inertia_result_ndwi_pca_i,n_clusters_list_ndwi_pca_i,cluster_pixel_count_features_pca_i,n_clusters_features_pca_i,n_components_features_pca_i,flooded_cluster_features_pca_i,explained_variance_features_pca_i,inertia_result_features_pca_i,n_clusters_list_features_pca_i,ndwi_pixels
0,ASTN3_326_20230706T153819_20230706T155055_T18TYN_VIS.tif,ASTN3_326_20230706T153819_20230706T155055_T18TYN_NDWI.tif,ASTN3_326_20230706T153819_20230706T155055_T18TYN_CLOUD.tif,ASTN3_326,20230706,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,NH,Cheshire,43.149444444444,-72.361666666667,"[{""Statement"":""Water up to Route 123 bridge. "",""Value"":12},{""Statement"":""Flood comparable to the one in July 2021. "",""Value"":11.75},{""Statement"":""Route 123 in Acworth and Alstead flooded. Several properties near the river imapacted. "",""Value"":11},{""Statement"":""Property near the dam in Alstead inundated. "",""Value"":10},{""Statement"":""Warren Brook likely to cause flooding along Route 123 or Forest Road east of Alstead."",""Value"":9},{""Statement"":""Flooding in Acworth in the headwaters of the Cold River. "",""Value"":8},{""Statement"":""River out of banks. "",""Value"":7}]",gauge,2023-07-10,before flood,"{'cluster_0': 1180488, 'cluster_1': 19544, 'cluster_2': 209083}",3,0,"{'cluster_0': 1183248, 'cluster_1': 19458, 'cluster_2': 206409}",3,1,0,"[0.9484586685876627, 0.9834559435385591, 1.0]","[1773931.9030250688, 923920.1231380361, 596032.6154459406, 433412.7558536397, 308567.5782570976]","[2, 3, 4, 5, 6]","{'cluster_0': 1182785, 'cluster_1': 19384, 'cluster_2': 1152, 'cluster_3': 205794}",4,2,0,"[0.7114280952569099, 0.961459565038239, 0.9875919682266366, 0.9999999999999998]","[3183474.5461197263, 1775948.5106601757, 927185.7934773532, 599604.8718712041, 436976.52757822827]","[2, 3, 4, 5, 6]","{'cluster_0': 1175444, 'cluster_1': 19120, 'cluster_2': 208112, 'cluster_3': 6439}",4,2,3,"[0.721108935552996, 0.9631408702594115, 0.9882530738098592, 1.0]","[3182350.675006822, 2283477.9258496934, 1205239.6176734073, 856448.9271469305, 594052.3867285433]","[2, 3, 4, 5, 6]","{'cluster_0': 1195160, 'cluster_1': 15501, 'cluster_2': 197302, 'cluster_3': 1152}",4,3,0,"[0.5770271329583024, 0.7896832007973871, 0.9705637775925199, 0.9906047796545917, 1.0000000000000002]","[4591580.249292482, 3690771.732014945, 2276813.923153638, 1244293.050521228, 917135.2210609763]","[2, 3, 4, 5, 6]",6804
1,45160_20230711T153821_20230711T154201_T18TXP_VIS.tif,45160_20230711T153821_20230711T154201_T18TXP_NDWI.tif,45160_20230711T153821_20230711T154201_T18TXP_CLOUD.tif,45160,20230711,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Washington,44.17298377,-72.65136033,Green HWM disc and nail in small maple tree,stn,2023-07-10 to 2023-07-11,during flood,"{'cluster_0': 1148258, 'cluster_1': 249388, 'cluster_2': 14669}",3,1,"{'cluster_0': 1089146, 'cluster_1': 291523, 'cluster_2': 976, 'cluster_3': 30670}",4,1,1,"[0.9230389661663647, 0.9780896227543739, 1.0]","[2084481.9824479574, 1245621.6159225774, 766559.0018859264, 508172.77303700394, 354174.6642520467]","[2, 3, 4, 5, 6]","{'cluster_0': 1162245, 'cluster_1': 235976, 'cluster_2': 1311, 'cluster_3': 12783}",4,2,1,"[0.6928982487639073, 0.9425938636752008, 0.983627884515855, 1.0000000000000002]","[3489727.1337337676, 2086512.6621617344, 1247519.3406327118, 768574.911683269, 510751.106637611]","[2, 3, 4, 5, 6]","{'cluster_0': 1161427, 'cluster_1': 12229, 'cluster_2': 226494, 'cluster_3': 12165}",4,2,3,"[0.6965642188586398, 0.9434935992502894, 0.9837821397055896, 1.0]","[3445033.608573318, 2615171.436096867, 1282127.6261779326, 803135.1281184998, 545803.065331713]","[2, 3, 4, 5, 6]","{'cluster_0': 1257246, 'cluster_1': 141563, 'cluster_2': 12195, 'cluster_3': 1311}",4,3,2,"[0.5578215253684339, 0.766523351437534, 0.9550100878441516, 0.9870814095418267, 1.0]","[4848756.575205284, 3511627.2865197607, 2131539.5916573647, 1305885.742691493, 826747.5203961458]","[2, 3, 4, 5, 6]",12430
2,45321_20230706T153819_20230706T155055_T18TXN_VIS.tif,45321_20230706T153819_20230706T155055_T18TXN_NDWI.tif,45321_20230706T153819_20230706T155055_T18TXN_CLOUD.tif,45321,20230706,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Windham,42.8493399,-72.57494474,"Metal washer and pink flagging 4 ft above leveled beach in maple tree (27 in. diameter). ~25 ft from waters edge, 30 ft from CHCL",stn,2023-07-10 to 2023-07-11,before flood,"{'cluster_0': 1224169, 'cluster_1': 7370, 'cluster_2': 168429}",3,0,"{'cluster_0': 1086882, 'cluster_1': 53188, 'cluster_2': 4286, 'cluster_3': 255612}",4,1,0,"[0.9597729701300295, 0.9876810901909516, 1.0]","[1793989.5719978195, 976272.6420963448, 520931.7464011243, 342648.8527450543, 249626.6511401352]","[2, 3, 4, 5, 6]","{'cluster_0': 1221906, 'cluster_1': 7439, 'cluster_2': 168772, 'cluster_3': 1851}",4,2,0,"[0.719914952002529, 0.9699857421229809, 0.9907630004816516, 0.9999999999999999]","[3194697.1086317236, 2376983.8674920746, 977087.91832551, 522083.0774079525, 343954.28490951273]","[2, 3, 4, 5, 6]","{'cluster_0': 1195961, 'cluster_1': 163834, 'cluster_2': 33293, 'cluster_3': 6880}",4,2,2,"[0.7201022453937459, 0.9733687232969217, 0.9911041578179023, 1.0]","[3213824.8707095054, 1899865.434609153, 1060345.4433134273, 610533.2363070429, 433871.7544559819]","[2, 3, 4, 5, 6]","{'cluster_0': 1296918, 'cluster_1': 101199, 'cluster_2': 1851}",3,3,0,"[0.5761287314386602, 0.8141534831613153, 0.978697834086242, 0.9928848997136589, 0.9999999999999999]","[4613706.653462898, 3167093.4079368627, 1911711.1550795168, 1072486.3438225796, 622745.3108487672]","[2, 3, 4, 5, 6]",35901
3,45237_20230706T153819_20230706T155055_T18TXN_VIS.tif,45237_20230706T153819_20230706T155055_T18TXN_NDWI.tif,45237_20230706T153819_20230706T155055_T18TXN_CLOUD.tif,45237,20230706,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Windham,43.09906224,-72.78225756,White HWM disc in DS side of giant oak near LB fire department facing parking lot. 150 ft US of bridge on LB,stn,2023-07-10 to 2023-07-11,before flood,"{'cluster_0': 614003, 'cluster_1': 2403, 'cluster_2': 118726}",3,0,"{'cluster_0': 617938, 'cluster_1': 2395, 'cluster_2': 114799}",3,1,0,"[0.9425264352407022, 0.9752741062650685, 1.0]","[1048336.059466708, 505905.55918752635, 302382.25183734385, 198322.73269907568, 142095.68721555348]","[2, 3, 4, 5, 6]","{'cluster_0': 614558, 'cluster_1': 117147, 'cluster_2': 2347, 'cluster_3': 1080}",4,2,0,"[0.7079208092530405, 0.9571355400513385, 0.9814722473062893, 1.0]","[1799081.5852574608, 1239357.3168349871, 518588.1899858423, 318702.3723330013, 215597.3260606852]","[2, 3, 4, 5, 6]","{'cluster_0': 625526, 'cluster_1': 107520, 'cluster_2': 2086}",3,2,0,"[0.7267632553186849, 0.9583981987000378, 0.9825210601540489, 1.0]","[1729089.8773993743, 1168199.3387004312, 948524.7746610176, 825485.5839089521, 286127.15872354544]","[2, 3, 4, 5, 6]","{'cluster_0': 621742, 'cluster_1': 110269, 'cluster_2': 2045, 'cluster_3': 1076}",4,3,0,"[0.5824600160053048, 0.7881534573766704, 0.9668637763619589, 0.986025210946884, 0.9999999999999999]","[2486550.492016096, 1901354.8590080505, 1176181.8955070616, 960798.0233521533, 452139.4040743132]","[2, 3, 4, 5, 6]",3190
4,44909_20230726T153819_20230726T155051_T18TXP_VIS.tif,44909_20230726T153819_20230726T155051_T18TXP_NDWI.tif,44909_20230726T153819_20230726T155051_T18TXP_CLOUD.tif,44909,20230726,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Rutland,43.60500752,-73.01468347,"HWM is located on metal fence, gate post, streamward side. Marked with orange ribbon and paint.",stn,2023-07-10 to 2023-07-11,after flood,"{'cluster_0': 954158, 'cluster_1': 219719, 'cluster_2': 17396}",3,0,"{'cluster_0': 955901, 'cluster_1': 17380, 'cluster_2': 217992}",3,1,0,"[0.9680766784742887, 0.9866549577858897, 1.0]","[1555505.496596408, 761943.9813070619, 443195.71621580445, 298029.6983851679, 221200.5725675612]","[2, 3, 4, 5, 6]","{'cluster_0': 955762, 'cluster_1': 217128, 'cluster_2': 17183, 'cluster_3': 1200}",4,2,2,"[0.7260929343625797, 0.976074571080784, 0.98999154204122, 1.0]","[2746751.0822963826, 1953183.6010927986, 765959.1103989646, 447429.8158204849, 302849.42006716086]","[2, 3, 4, 5, 6]","{'cluster_0': 943586, 'cluster_1': 19109, 'cluster_2': 227091, 'cluster_3': 1487}",4,2,3,"[0.7338192956033194, 0.9762561038802333, 0.9901818265662213, 1.0]","[2744176.114954126, 1930465.1596018148, 836029.0374020477, 535109.3091724219, 430923.01522968867]","[2, 3, 4, 5, 6]","{'cluster_0': 1088829, 'cluster_1': 100957, 'cluster_2': 1487}",3,3,2,"[0.5871201538297051, 0.7977523052316083, 0.9810171379082185, 0.9921455784822777, 0.9999999999999998]","[3935425.479414044, 2750700.5540636927, 1632403.4910282586, 903801.7895228374, 603097.3662525505]","[2, 3, 4, 5, 6]",1487
5,45501_20230706T153819_20230706T155055_T18TXP_VIS.tif,45501_20230706T153819_20230706T155055_T18TXP_NDWI.tif,45501_20230706T153819_20230706T155055_T18TXP_CLOUD.tif,45501,20230706,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Rutland,43.46982991,-72.98195187,White HWM disc located inside of blue dugout. Near Irene HWM (VT-021-WC-6),stn,2023-07-10 to 2023-07-11,before flood,"{'cluster_0': 986190, 'cluster_1': 254742, 'cluster_2': 30445}",3,0,"{'cluster_0': 993033, 'cluster_1': 248972, 'cluster_2': 29372}",3,1,0,"[0.9399032679388001, 0.9796505048472398, 1.0000000000000002]","[1580388.4889032291, 802930.2039148294, 542019.1542711338, 381095.7113139117, 277793.7378272379]","[2, 3, 4, 5, 6]","{'cluster_0': 990706, 'cluster_1': 250800, 'cluster_2': 29871}",3,2,0,"[0.7050010539377669, 0.9550385351917117, 0.9847389731092417, 1.0]","[2851932.7798414286, 2074466.086959768, 1813149.3907628884, 1652030.8090217256, 393015.85820413346]","[2, 3, 4, 5, 6]","{'cluster_0': 988902, 'cluster_1': 29832, 'cluster_2': 2997, 'cluster_3': 249646}",4,2,2,"[0.7058217481787767, 0.9558762104395242, 0.984912473200679, 1.0]","[2856349.373801281, 1592269.311212549, 824209.8513185282, 565208.0130077621, 406419.7749408721]","[2, 3, 4, 5, 6]","{'cluster_0': 1165901, 'cluster_1': 103660, 'cluster_2': 1816}",3,3,0,"[0.564710769987955, 0.7699074876442108, 0.9647775399742424, 0.9879310262364377, 0.9999999999999999]","[4127806.2046681773, 2863856.7920447984, 2087874.386742512, 859578.4092895115, 601390.7622895045]","[2, 3, 4, 5, 6]",3035
6,45206_20230711T153821_20230711T154201_T18TXN_VIS.tif,45206_20230711T153821_20230711T154201_T18TXN_NDWI.tif,45206_20230711T153821_20230711T154201_T18TXN_CLOUD.tif,45206,20230711,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Windsor,43.25829309,-72.58747966,Wash line at base of tree (13 inch diameter) DSL across the road from gas station near the confluence with Lovers Lane Brook,stn,2023-07-10 to 2023-07-11,during flood,"{'cluster_0': 933399, 'cluster_1': 308382, 'cluster_2': 49305}",3,2,"{'cluster_0': 949578, 'cluster_1': 47729, 'cluster_2': 293779}",3,1,1,"[0.9353465759173701, 0.9721831359594579, 1.0]","[1536922.741652226, 878356.5248413251, 619923.8957625543, 436442.3969168763, 303344.468543775]","[2, 3, 4, 5, 6]","{'cluster_0': 957852, 'cluster_1': 285923, 'cluster_2': 1505, 'cluster_3': 45806}",4,2,3,"[0.7042387281670504, 0.9516614546202977, 0.9791931096019985, 1.0]","[2814522.4532976043, 1541052.7829816556, 884933.1511316125, 626615.5078252748, 443698.22313132713]","[2, 3, 4, 5, 6]","{'cluster_0': 947020, 'cluster_1': 48011, 'cluster_2': 295212, 'cluster_3': 843}",4,2,3,"[0.7078532100416737, 0.9516614765876241, 0.9791706144827141, 1.0]","[2819561.873420221, 2149223.511920134, 876552.5125899244, 623784.0425683783, 461184.04373968823]","[2, 3, 4, 5, 6]","{'cluster_0': 963072, 'cluster_1': 282010, 'cluster_2': 45161, 'cluster_3': 843}",4,3,3,"[0.5687084205723034, 0.7781547434641893, 0.9614326474017564, 0.983376954694958, 1.0]","[4096810.958916647, 3412031.2890788377, 2136685.524377937, 953227.3292372733, 700984.7021042623]","[2, 3, 4, 5, 6]",843
7,44911_20230726T153819_20230726T155051_T18TXP_VIS.tif,44911_20230726T153819_20230726T155051_T18TXP_NDWI.tif,44911_20230726T153819_20230726T155051_T18TXP_CLOUD.tif,44911,20230726,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Orange,43.93431942,-72.65773882,White USGS HWM marker in base of pine tree across river from gage 01142500,stn,2023-07-10 to 2023-07-11,after flood,"{'cluster_0': 693777, 'cluster_1': 56561, 'cluster_2': 338760}",3,2,"{'cluster_0': 697610, 'cluster_1': 55984, 'cluster_2': 335504}",3,1,2,"[0.9272842423839749, 0.9666281176229178, 1.0]","[1353267.8905217014, 865114.6324088663, 541902.1797043602, 349691.6468222799, 253784.38463559136]","[2, 3, 4, 5, 6]","{'cluster_0': 828744, 'cluster_1': 259453, 'cluster_2': 901}",3,2,1,"[0.6958359076697664, 0.9454860841746094, 0.9749714479767596, 0.9999999999999999]","[2441111.677221738, 1354614.7520423862, 868603.8157219958, 634912.349996798, 353357.524499624]","[2, 3, 4, 5, 6]","{'cluster_0': 828216, 'cluster_1': 260736, 'cluster_2': 146}",3,2,2,"[0.6976877655626523, 0.945553396528699, 0.9750200524905642, 1.0]","[2442210.4748230265, 1342182.293390998, 974182.0177492274, 563175.4181596669, 371435.92665469385]","[2, 3, 4, 5, 6]","{'cluster_0': 828578, 'cluster_1': 260374, 'cluster_2': 146}",3,3,2,"[0.5584633083105666, 0.7611657934858197, 0.9564598531888203, 0.9800162377869746, 1.0]","[3530062.0790195717, 2429550.590081903, 1352673.3592790156, 872527.5555049364, 575581.1604295515]","[2, 3, 4, 5, 6]",146
8,45310_20230711T153821_20230711T154201_T18TXN_VIS.tif,45310_20230711T153821_20230711T154201_T18TXN_NDWI.tif,45310_20230711T153821_20230711T154201_T18TXN_CLOUD.tif,45310,20230711,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,VT,Windham,42.86892825,-72.8706444,Wooden stake with pink flagging 179 ft from US face in line with old wooden door on building DS of church,stn,2023-07-10 to 2023-07-11,during flood,"{'cluster_0': 222810, 'cluster_1': 32886, 'cluster_2': 1152294}",3,2,"{'cluster_0': 1159542, 'cluster_1': 31953, 'cluster_2': 216495}",3,1,0,"[0.9054920721184322, 0.9771784680559374, 1.0]","[1677273.3006604153, 939604.7628363222, 684474.0742917603, 471713.4701158862, 350687.1399790663]","[2, 3, 4, 5, 6]","{'cluster_0': 1163198, 'cluster_1': 31121, 'cluster_2': 211860, 'cluster_3': 1811}",4,2,0,"[0.6791190664395648, 0.9296263665380808, 0.9828839718521373, 0.9999999999999999]","[3087991.5490051, 2350258.4462634707, 946811.101645574, 691091.8548145392, 480370.8546368081]","[2, 3, 4, 5, 6]","{'cluster_0': 1129024, 'cluster_1': 203315, 'cluster_2': 30570, 'cluster_3': 45081}",4,2,3,"[0.6843910543458657, 0.9450296574444839, 0.9834500415753386, 1.0]","[3171963.1112989737, 2424134.558068105, 950462.0492439464, 690261.0764375299, 500748.9187034505]","[2, 3, 4, 5, 6]","{'cluster_0': 1265430, 'cluster_1': 45890, 'cluster_2': 96670}",3,3,1,"[0.547527149929611, 0.7734882804991293, 0.9560615039037463, 0.9867607114355306, 1.0]","[5173733.09555135, 3057514.3104693373, 2336294.0455977423, 971238.7519108517, 730041.6771311285]","[2, 3, 4, 5, 6]",45126
9,45015_20230706T153819_20230706T155055_T18TXN_VIS.tif,45015_20230706T153819_20230706T155055_T18TXN_NDWI.tif,45015_20230706T153819_20230706T155055_T18TXN_CLOUD.tif,45015,20230706,data/img_s2/2023-07/,data/img_s2/2023-07_NDWI/,data/img_s2/2023-07_CLOUD/,2023-07,MA,Franklin,42.54174,-72.693974,"USGS Streamgage 01169900 South River nr Conway, MA; LEW 0 ft USB",stn,2023-07-10 to 2023-07-11,before flood,"{'cluster_0': 1058111, 'cluster_1': 45623, 'cluster_2': 283408}",3,0,"{'cluster_0': 1062353, 'cluster_1': 43900, 'cluster_2': 280889}",3,1,0,"[0.9298741346006638, 0.9758505204274251, 1.0]","[1682957.0605546262, 1022396.2105508808, 669336.8581234696, 452461.88247015857, 314268.15613505704]","[2, 3, 4, 5, 6]","{'cluster_0': 1062828, 'cluster_1': 43541, 'cluster_2': 1264, 'cluster_3': 279509}",4,2,0,"[0.6974112447935865, 0.9476840412893228, 0.98190040781996, 1.0]","[3071581.7384624416, 1683791.1431713004, 1024036.0126856882, 671142.1694092669, 454510.4668040612]","[2, 3, 4, 5, 6]","{'cluster_0': 1054998, 'cluster_1': 281660, 'cluster_2': 49017, 'cluster_3': 1467}",4,2,3,"[0.7014757453514368, 0.947993228818502, 0.9821330867046711, 1.0]","[3072557.43528527, 1694010.8737737227, 1077835.5266243923, 826249.202837682, 621613.0979871931]","[2, 3, 4, 5, 6]","{'cluster_0': 1064217, 'cluster_1': 279066, 'cluster_2': 42595, 'cluster_3': 1264}",4,3,0,"[0.5611842339595448, 0.7855408412089622, 0.9585458018752623, 0.985708570410677, 0.9999999999999999]","[4460736.892650948, 3796806.416965693, 2387873.773162637, 1212840.071776412, 961378.8803082914]","[2, 3, 4, 5, 6]",1467
